Title,Price,Mileage,Location,Description,PublishedDate,Link,ImageURL,Brand,Model,Condition,Transmission,FuelType,EngineCapacity,Year
Toyota Yaris Ativ NIGHTSHADE 1.2 2TONE 2025,15975000.0,0 km,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-yaris-ativ-nightshade-12-2tone-2025-for-sale-colombo,https://i.ikman-st.com/toyota-yaris-ativ-nightshade-12-2tone-2025-for-sale-colombo/93135104-7b8e-428b-b1c0-51a84ae1c447/142/107/cropped.jpg,,,,,,,2025.0
Land Rover Range Autobiography LWB 2025,153000000.0,0 km,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/land-rover-range-autobiography-lwb-2025-for-sale-colombo-20,https://i.ikman-st.com/land-rover-range-autobiography-lwb-2025-for-sale-colombo-20/de4dbd7c-69a1-470b-8d6d-e90e662a46f9/142/107/cropped.jpg,,,,,,,2025.0
Honda PCX160 2022,1740000.0,120 km,Colombo,"Colombo, Motorbikes",bump_up,https://ikman.lk/en/ad/honda-pcx160-2022-for-sale-colombo-3,https://i.ikman-st.com/honda-pcx160-2022-for-sale-colombo-3/5f3b9a6c-8801-4b1e-b95f-e45f4e9d7d30/142/107/cropped.jpg,,,,,,,2022.0
Japan Bicycle,42000.0,,Galle,"Galle, Bicycles",just now,https://ikman.lk/en/ad/japan-bicycle-for-sale-galle-289,https://i.ikman-st.com/japan-bicycle-for-sale-galle-289/a547720b-c435-462d-90aa-6db679514cf5/142/107/cropped.jpg,,,,,,,
Suzuki Gixxer SF 2017,520000.0,"49,000 km",Kegalle,"Kegalle, Motorbikes",just now,https://ikman.lk/en/ad/suzuki-gixxer-sf-2017-for-sale-kegalle-2,https://i.ikman-st.com/suzuki-gixxer-sf-2017-for-sale-kegalle-2/368f2b28-501a-437d-bf38-ceb6965c7be6/142/107/cropped.jpg,,,,,,,2017.0
Bajaj RE 4 Stroke 2013,1385000.0,,Matara,"Matara, Three Wheelers",1 minute,https://ikman.lk/en/ad/bajaj-re-3wd-2013-for-sale-matara,https://i.ikman-st.com/bajaj-re-3wd-2013-for-sale-matara/db652f67-5704-4eb7-86d6-0ebf69b46ac7/142/107/cropped.jpg,,,,,,,2013.0
Chery Tiggo 4 Pro 2025,9989000.0,0 km,Colombo,"Colombo, Cars",7 days,https://ikman.lk/en/ad/chery-tiggo-4-pro-2025-for-sale-colombo-7,https://i.ikman-st.com/chery-tiggo-4-pro-2025-for-sale-colombo-7/cc563d9b-34c4-4c6e-a032-338adcb59452/142/107/cropped.jpg,,,,,,,2025.0
Tata Curvv 2025,10700000.0,"11,000 km",Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/tata-curvv-2025-for-sale-colombo-1,https://i.ikman-st.com/tata-curvv-2025-for-sale-colombo-1/e250f998-df53-40c8-b08d-1ec19f3e78ec/142/107/cropped.jpg,,,,,,,2025.0
Toyota Yaris Ativ GR 1.5 HEV 2025,18300000.0,0 km,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-yaris-ativ-gr-15-hev-2025-for-sale-colombo-1,https://i.ikman-st.com/toyota-yaris-ativ-gr-15-hev-2025-for-sale-colombo-1/c71fd308-3308-438d-ae5c-7ea439330b76/142/107/cropped.jpg,,,,,,,2025.0
Toyota Axio G Grade 2009,7250000.0,"155,000 km",Colombo,"Colombo, Cars",20 days,https://ikman.lk/en/ad/toyota-axio-g-grand-2009-for-sale-colombo,https://i.ikman-st.com/toyota-axio-g-grand-2009-for-sale-colombo/a394059d-b925-4429-93d8-6f45e7f6e840/142/107/cropped.jpg,,,,,,,2009.0
TVS Ntorq 125 2026,179900.0,0 km,Colombo,"Colombo, Motorbikes",bump_up,https://ikman.lk/en/ad/tvs-ntorq-125-2026-for-sale-colombo-490,https://i.ikman-st.com/tvs-ntorq-125-2026-for-sale-colombo-490/8c34e4e7-e395-43cc-a45e-0f993358b2a0/142/107/cropped.jpg,,,,,,,2026.0
Suzuki WagonR (MH55FZ) Head Light,125000.0,,Colombo,"Colombo, Auto Parts & Accessories",just now,https://ikman.lk/en/ad/suzuki-wagonr-mh55fz-head-light-for-sale-colombo,https://i.ikman-st.com/suzuki-wagonr-mh55fz-head-light-for-sale-colombo/0ea8e39b-ff4c-4d42-b5cd-a4223ee2bbd2/142/107/cropped.jpg,,,,,,,
Bajaj CT100 Brand New Blue 2026,174000.0,0 km,Kurunegala,"Kurunegala, Motorbikes",6 days,https://ikman.lk/en/ad/bajaj-ct100-brand-new-blue-2026-for-sale-kurunegala,https://i.ikman-st.com/bajaj-ct100-brand-new-blue-2026-for-sale-kurunegala/8d16626c-a87c-49b7-9578-8a4be20bfd70/142/107/cropped.jpg,,,,,,,2026.0
TVS Ntorq 125 Brand New 2026,199700.0,0 km,Colombo,"Colombo, Motorbikes",4 days,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-575,https://i.ikman-st.com/tvs-ntorq-125-brand-new-2026-for-sale-colombo-575/46656d67-20e9-4d76-beef-315eef63afad/142/107/cropped.jpg,,,,,,,2026.0
TVS Ntorq 125 Brand New 2026,174900.0,0 km,Colombo,"Colombo, Motorbikes",4 days,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-574,https://i.ikman-st.com/tvs-ntorq-125-brand-new-2026-for-sale-colombo-574/26e5feb1-f929-4a6b-85b1-9d66f37725c5/142/107/cropped.jpg,,,,,,,2026.0
TVS Raider 125 2026,156990.0,0 km,Colombo,"Colombo, Motorbikes",10 days,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-350,https://i.ikman-st.com/tvs-raider-125-2026-for-sale-colombo-350/a05a5e8f-dac3-4650-b474-f2807796964b/142/107/cropped.jpg,,,,,,,2026.0
Toyota Vitz Safety Edition 2016,7350000.0,"93,193 km",Colombo,"Colombo, Cars",4 days,https://ikman.lk/en/ad/toyota-vitz-safety-edition-2016-for-sale-colombo-195,https://i.ikman-st.com/toyota-vitz-safety-edition-2016-for-sale-colombo-195/578c7336-bb2a-4f5c-a88e-2f9a379702ad/142/107/cropped.jpg,,,,,,,2016.0
Mahindra Alfa Load Career 2026,1521186.0,,Matale,"Matale, Three Wheelers",9 days,https://ikman.lk/en/ad/mahindra-alfa-load-career-2026-for-sale-matale,https://i.ikman-st.com/mahindra-alfa-load-career-2026-for-sale-matale/ef571524-a0ae-43e9-afad-ad59ce1501a3/142/107/cropped.jpg,,,,,,,2026.0
Hero Hunk 2014,360000.0,"166,380 km",Anuradhapura,"Anuradhapura, Motorbikes",just now,https://ikman.lk/en/ad/hero-hunk-g-2014-for-sale-anuradhapura,https://i.ikman-st.com/hero-hunk-g-2014-for-sale-anuradhapura/a6914111-ca50-48cd-b281-552b9c040112/142/107/cropped.jpg,,,,,,,2014.0
Ford Kuga SUV 2015,11800000.0,"134,000 km",Colombo,"Colombo, Cars",21 days,https://ikman.lk/en/ad/ford-kuga-suv-2015-for-sale-colombo-1,https://i.ikman-st.com/ford-kuga-suv-2015-for-sale-colombo-1/a575157f-4ef1-4805-84d6-507082032cf1/142/107/cropped.jpg,,,,,,,2015.0
Toyota Aqua Axio Prius Lithium Hybrid Battery,345000.0,,Colombo,"Colombo, Maintenance and Repair",bump_up,https://ikman.lk/en/ad/toyota-aqua-axio-prius-lithium-hybrid-battery-for-sale-colombo,https://i.ikman-st.com/toyota-aqua-axio-prius-lithium-hybrid-battery-for-sale-colombo/f53b9576-cffa-4e9d-bd8e-1285f1e44f84/142/107/cropped.jpg,,,,,,,
TVS Ntorq 125 Brand New 2026,158500.0,0 km,Colombo,"Colombo, Motorbikes",8 hours,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-566,https://i.ikman-st.com/tvs-ntorq-125-brand-new-2026-for-sale-colombo-566/78ed2404-be7d-48e4-840f-cce09bf7e9df/142/107/cropped.jpg,,,,,,,2026.0
TVS Sport 110 2026,131100.0,0 km,Colombo,"Colombo, Motorbikes",7 days,https://ikman.lk/en/ad/tvs-sport-110-2026-for-sale-colombo-300,https://i.ikman-st.com/tvs-sport-110-2026-for-sale-colombo-300/e868ddb4-856d-4877-81e9-c979c90894d1/142/107/cropped.jpg,,,,,,,2026.0
Toyota Premio G Superior 2018,14900000.0,"101,223 km",Colombo,"Colombo, Cars",25 days,https://ikman.lk/en/ad/toyota-premio-g-superior-2018-for-sale-colombo-1075,https://i.ikman-st.com/toyota-premio-g-superior-2018-for-sale-colombo-1075/9860244d-e26f-4f59-abb7-83e08325feca/142/107/cropped.jpg,,,,,,,2018.0
BMW X2 M35i Coupe SUV 2025,69000000.0,"1,000 km",Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/bmw-x2-m35i-coupe-suv-2025-for-sale-colombo,https://i.ikman-st.com/bmw-x2-m35i-coupe-suv-2025-for-sale-colombo/74fa2690-ef56-4936-bfa6-f37c08d00adb/142/107/cropped.jpg,,,,,,,2025.0
Mini Cooper 2016,16200000.0,"76,800 km",Colombo,"Colombo, Cars",2 days,https://ikman.lk/en/ad/mini-cooper-2016-for-sale-colombo-33,https://i.ikman-st.com/mini-cooper-2016-for-sale-colombo-33/95a405b6-aefe-40e9-b133-3761485b336c/142/107/cropped.jpg,,,,,,,2016.0
TVS Sport 110 2026,129600.0,0 km,Colombo,"Colombo, Motorbikes",7 days,https://ikman.lk/en/ad/tvs-sport-110-2026-for-sale-colombo-301,https://i.ikman-st.com/tvs-sport-110-2026-for-sale-colombo-301/4ddfdf39-e03f-4b28-bbc0-a3cedfe223f3/142/107/cropped.jpg,,,,,,,2026.0
GPS unit,7500.0,,Colombo,"Colombo, Auto Parts & Accessories",46 days,https://ikman.lk/en/ad/gps-unit-for-sale-colombo-5,https://i.ikman-st.com/gps-unit-for-sale-colombo-5/861e52c5-585b-4414-85d3-886ace31f784/142/107/cropped.jpg,,,,,,,
Toyota Hilux REVO 2.8L MODELLISTA 2025,25800000.0,0 km,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-hilux-revo-28l-modellista-2025-for-sale-colombo-1,https://i.ikman-st.com/toyota-hilux-revo-28l-modellista-2025-for-sale-colombo-1/f8334f4f-0a04-4c4e-9158-b19008fb56b5/142/107/cropped.jpg,,,,,,,2025.0
