price,Mileage,Location,Year,Brand,Model,Brand_Encoded,Model_Encoded,Loc_Anuradhapura,Loc_Colombo,Loc_Galle,Loc_Gampaha,Loc_Jaffna,Loc_Kalutara,Loc_Kandy,Loc_Kegalle,Loc_Kurunegala,Loc_Other,Loc_Trincomalee,Price_Normalized,Mileage_Normalized
21300000.0,47.0,4,2025,48,308,48,308,False,True,False,False,False,False,False,False,False,False,False,0.0357586620018795,5.248055036064702e-05
165000.0,80000.0,23,2011,23,79,23,79,False,False,False,False,False,False,False,False,False,False,True,0.0002361926300994,0.0893285963585481
675000.0,3200.0,23,2025,62,283,62,283,False,False,False,False,False,False,False,False,False,False,True,0.0010933707412708,0.0035731438543419
200000.0,100000.0,10,1979,25,66,25,66,False,False,False,False,False,False,True,False,False,False,False,0.0002950185789052,0.1116607454481851
380000.0,10500.0,0,2018,23,173,23,173,False,False,False,False,False,False,False,False,False,True,False,0.0005975520299069,0.0117243782720594
455000.0,80000.0,10,2012,10,270,10,270,False,False,False,False,False,False,True,False,False,False,False,0.0007236076344909,0.0893285963585481
52000000.0,29000.0,4,2023,65,208,65,208,False,True,False,False,False,False,False,False,False,False,False,0.0873574228116099,0.0323816161799737
690000.0,43998.0,22,2018,61,160,61,160,False,False,False,False,False,False,False,False,False,True,False,0.0011185818621876,0.0491284947822925
57500000.0,3500.0,4,2024,65,208,65,208,False,True,False,False,False,False,False,False,False,False,False,0.0966015004811055,0.0039081260906864
59500000.0,0.0,4,2024,65,112,65,112,False,True,False,False,False,False,False,False,False,False,False,0.099962983270013,0.0
19500000.0,110000.0,4,2016,42,67,42,67,False,True,False,False,False,False,False,False,False,False,False,0.0327333274918628,0.1228268199930036
6975000.0,6000.0,5,2024,61,366,61,366,False,False,True,False,False,False,False,False,False,False,False,0.0116820415263294,0.0066996447268911
3350000.0,92000.0,4,2003,61,50,61,50,False,True,False,False,False,False,False,False,False,False,False,0.0055893539714346,0.1027278858123303
260000.0,76841.0,16,2011,10,126,10,126,False,False,False,False,False,False,False,False,False,True,False,0.0003958630625725,0.0858012334098399
7865000.0,50000.0,4,2021,15,166,15,166,False,True,False,False,False,False,False,False,False,False,False,0.0131779013673933,0.0558303727240925
640000.0,70000.0,13,2018,10,270,10,270,False,False,False,False,False,False,False,False,True,False,False,0.0010345447924649,0.0781625218137296
